EXPOCODE,SECT_ID,LINE,STA,CAST,BTL,BTL_QC,DATE,TIME,LAT,LONG,Bot Depth,Press (db),CTD T C° ITS-90,CTD SALT,CTD_QC,bot salt,Bot_Salt_QC,CTD OXY µmol/kg,Bot O2 µmol/kg,Bot_O2_QC,Silicate µmol/kg,Nitrate µmol/kg,Nitrite µmol/kg,Phosphate µmol/kg,Ammonia µmol/kg,DIC µmol/kg,DIC_QC,TA µmol/kg,TA_QC,pH total meas 25°C,pH_QC,Chlorophyll a concentration µg/L,PON µmol/L,POC µmol/L,POC/PON mol/mol,PON µmol/kg,POC µmol/kg
32WC20110812,WCOA2011,1,4,1,6,2,8/13/2011,2:07:12,47.98,-125.31,263,99.5,7.631,33.548,2,-999,9,158.3,157.33,2,31.08,25.44,0.07,1.92,0.09,2170.3,2,2234.3,2,7.523,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,4,1,7,2,8/13/2011,2:08:38,47.98,-125.31,263,80.08,7.603,33.108,2,-999,9,211.9,-999,9,20.63,17.91,0.04,1.49,0.01,2105.6,2,2207.5,2,7.648,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,4,1,8,2,8/13/2011,2:10:09,47.98,-125.31,263,60.5,7.699,32.749,2,-999,9,251.4,251.4,2,14.57,12.36,0.1,1.22,0.02,2061,2,2189.5,2,7.715,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,4,1,9,2,8/13/2011,2:11:25,47.98,-125.31,263,49.88,7.798,32.694,2,-999,9,258,-999,9,11.62,10.39,0.21,1.11,0.02,2048.7,2,2186,2,7.741,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,4,1,10,2,8/13/2011,2:12:47,47.98,-125.31,263,39.81,8.458,32.6,2,-999,9,263.3,267.09,2,7.94,8.48,0.15,0.98,0.01,2032.4,2,2181.8,2,7.761,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,4,1,11,2,8/13/2011,2:13:07,47.98,-125.31,263,39.86,8.455,32.602,2,-999,9,262.5,-999,9,-999,-999,-999,-999,-999,-999,9,-999,9,-999,9,-999,0.6,5.63,9.4,0.62,5.78
32WC20110812,WCOA2011,1,4,1,12,2,8/13/2011,2:14:13,47.98,-125.31,263,29.46,9.275,32.519,2,-999,9,278.6,-999,9,6.47,5.05,0.22,0.79,0.07,2015.4,2,2176,2,7.805,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,4,1,13,2,8/13/2011,2:15:21,47.98,-125.31,263,20.42,10.886,32.401,2,-999,9,305.5,301.49,2,6.28,1.37,0.08,0.55,0.06,1983.8,2,2176.5,2,7.874,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,4,1,14,2,8/13/2011,2:16:25,47.98,-125.31,263,14.64,11.127,32.374,2,-999,9,298.9,-999,9,6.27,0.98,0.06,0.52,0.04,1980.7,2,2173.2,2,7.887,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,4,1,15,2,8/13/2011,2:17:20,47.98,-125.31,263,10.12,12.197,32.178,2,-999,9,300.7,299.38,2,6.27,0.64,0.04,0.46,0.02,1963.1,2,2171.4,2,7.912,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,4,1,16,2,8/13/2011,2:18:34,47.98,-125.31,263,5.32,14.554,31.582,2,-999,9,267.3,-999,9,8.65,0.18,0.03,0.29,0.03,1918.4,2,2155.8,2,7.984,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,4,1,17,2,8/13/2011,2:19:34,47.98,-125.31,263,3.05,14.665,31.556,2,31.5723,2,276.5,274.53,2,9.2,0.11,0.02,0.24,0.03,-999,9,2153.8,6,8.004,2,-999,0.99,7.24,7.3,1.02,7.41
32WC20110812,WCOA2011,1,4,1,18,2,8/13/2011,2:19:47,47.98,-125.31,263,3.06,14.67,31.555,2,-999,9,267,-999,9,-999,-999,-999,-999,-999,1908.6,6,-999,9,-999,9,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,5,1,1,2,8/13/2011,4:18:01,48.08,-125.23,141,129.74,6.958,33.917,2,33.9101,2,95.9,101.89,6,46.89,32.12,0.09,2.34,0.19,2225.1,6,2259,6,7.409,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,5,1,2,2,8/13/2011,4:18:18,48.08,-125.23,141,129.82,6.967,33.914,2,-999,9,94,-999,9,-999,-999,-999,-999,-999,-999,9,-999,9,-999,9,-999,0.7,7.28,10.4,0.72,7.48
32WC20110812,WCOA2011,1,5,1,3,2,8/13/2011,4:18:31,48.08,-125.23,141,129.93,6.966,33.915,2,-999,9,96,96.62,2,46.97,32.15,0.09,2.33,0.18,2225.6,2,2263.7,2,7.409,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,5,1,4,2,8/13/2011,4:20:00,48.08,-125.23,141,120.11,7.196,33.812,2,-999,9,102.8,103.94,2,43.85,30.79,0.18,2.32,0.48,2219,2,2252.7,2,7.413,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,5,1,5,2,8/13/2011,4:21:27,48.08,-125.23,141,109.97,7.222,33.779,2,-999,9,105.4,-999,9,42.38,30.23,0.15,2.27,0.33,2211.6,2,2248.9,2,7.427,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,5,1,6,2,8/13/2011,4:22:54,48.08,-125.23,141,100.48,7.32,33.622,2,-999,9,144.4,138.9,2,36.87,27.5,0.1,2.08,0.1,2185.5,2,2240.2,2,7.485,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,5,1,7,2,8/13/2011,4:25:01,48.08,-125.23,141,80.13,7.587,33.397,2,-999,9,174,-999,9,28.6,23.15,0.06,1.8,0.02,2151.3,2,2222.4,2,7.554,2,-999,-999,-999,-999,-999,-999
